Edge
Mixed_X31 --> Mixed_X40
Mixed_X30 --> Mixed_X45
Mixed_X10 --> Mixed_X21
Mixed_X1 --> Mixed_X31
Mixed_X13 --> Mixed_X22
Mixed_X31 --> Mixed_X48
Mixed_X1 --> Mixed_X32
Mixed_X32 --> Mixed_X48
Mixed_X10 --> Mixed_X26
Mixed_X13 --> Mixed_X20
Mixed_X4 --> Mixed_X32
Mixed_X6 --> Mixed_X30
Mixed_X8 --> Mixed_X30
Mixed_X36 --> Mixed_X48
Mixed_X36 --> Mixed_X45
Mixed_X17 --> Mixed_X21
Mixed_X14 --> Mixed_X29
Mixed_X39 --> Mixed_X46
Mixed_X7 --> Mixed_X37
Mixed_X7 --> Mixed_X38
Mixed_X41 --> Mixed_X46
Mixed_X14 --> Mixed_X32
Mixed_X5 --> Mixed_X40
Mixed_X43 --> Mixed_X47
Mixed_X44 --> Mixed_X46
Mixed_X1 --> Mixed_X46
Mixed_X14 --> Mixed_X36
Mixed_X45 --> Mixed_X49
Mixed_X46 --> Mixed_X48
Mixed_X19 --> Mixed_X32
Mixed_X7 --> Mixed_X44
Mixed_X46 --> Mixed_X47
Mixed_X12 --> Mixed_X37
Mixed_X5 --> Mixed_X47
Mixed_X4 --> Mixed_X5
Mixed_X3 --> Mixed_X49
Mixed_X25 --> Mixed_X27
Mixed_X6 --> Mixed_X7
Mixed_X12 --> Mixed_X42
Mixed_X21 --> Mixed_X31
Mixed_X15 --> Mixed_X42
Mixed_X24 --> Mixed_X33
Mixed_X10 --> Mixed_X47
Mixed_X17 --> Mixed_X41
Mixed_X20 --> Mixed_X35
Mixed_X24 --> Mixed_X31
Mixed_X18 --> Mixed_X43
Mixed_X25 --> Mixed_X37
Mixed_X18 --> Mixed_X47
Mixed_X19 --> Mixed_X49
Mixed_X20 --> Mixed_X40
Mixed_X22 --> Mixed_X42
Mixed_X24 --> Mixed_X41
Mixed_X22 --> Mixed_X43
Mixed_X21 --> Mixed_X42
Mixed_X22 --> Mixed_X46
Mixed_X19 --> Mixed_X50
Mixed_X2 --> Mixed_X20
Mixed_X5 --> Mixed_X20
Mixed_X4 --> Mixed_X21
Mixed_X33 --> Mixed_X34
Mixed_X5 --> Mixed_X22
Mixed_X33 --> Mixed_X39
Mixed_X27 --> Mixed_X45
Mixed_X35 --> Mixed_X38
Mixed_X10 --> Mixed_X19
Mixed_X5 --> Mixed_X24
Mixed_X1 --> Mixed_X28
Mixed_X12 --> Mixed_X14
Mixed_X32 --> Mixed_X38
Mixed_X29 --> Mixed_X47
Mixed_X8 --> Mixed_X24
Mixed_X7 --> Mixed_X25
Mixed_X27 --> Mixed_X48
Mixed_X17 --> Mixed_X18
